,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Christina Nolan,Female,White,,,No,3/15/2023,Nathaniel,"from local coverage on this race: ""Each candidate agreed that President Joe Biden won the 2020 election. But answers varied in response to a question about how they characterized the storming of the U.S. Capitol on Jan. 6, 2021.""",No,No,Vermont,8/9/2022,Senator,N/A,"10,825",35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Liam Madden,Male,White,,,No,12/1/2022,N/A (checked against interactive),acknowledged Biden won and that there was no widespread voter fraud,No,No,Vermont,8/9/2022,Representative,At-Large,"10,701",35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ericka Bundy Redic,Female,White,,,?,3/10/2023,Kaleigh,"from local coverage: ""Still, on Tuesday night, Redic and Tynio sowed doubt about the legitimacy of the 2020 election results without providing any proof."" and later on ""Redic conceded that Trump’s election fraud allegations have “not been proven in the courts yet.” But she balked at the “rhetoric” surrounding the events January 6, 2021.""",No,No,Vermont,8/9/2022,Representative,At-Large,"8,255",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anya Tynio,Female,White,,,?,7/25/2022,Maya,"from local coverage: ""Tynio falsely claimed that the legitimacy of the election “hasn't been proven either way.” https://www.wcax.com/2022/06/29/primary-preview-meet-republicans-running-us-house/",No,No,Vermont,8/9/2022,Representative,At-Large,"6,908",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stephen C. Bellows,Male,White,,,N/A,7/25/2022,N/A (they are N/A),limited digital presence and nothing about his stance on this issue,No,Yes,Vermont,8/9/2022,Governor,N/A,"5,402",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Peter Duval,Male,White,,,N/A,7/25/2022,N/A (they are N/A),limited digital presence and nothing about his stance on this issue,No,Yes,Vermont,8/9/2022,Governor,N/A,"3,627",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Phil Scott,Male,White,,,No,12/1/2022,N/A (checked against interactive),"voted for Biden, has publicly stated Biden won, and said ""Trump ‘bruised’ confidence in integrity of elections"" according to local coverage, called on Trump to resign after Jan 6",Yes,No,Vermont,8/9/2022,Governor,N/A,"20,319",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Ron Johnson,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"Politico headline: ""Ron Johnson tried to hand fake elector info to Mike Pence on Jan. 6, panel reveals""",Yes,No,Wisconsin,8/9/2022,Senator,N/A,"563,871",84%,Won,N/A,N/A,N/A,Yes,4/8/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
David Schroeder,Male,White,,,No,3/15/2023,Nathaniel,"feel like this is a No: ""Well, I worked elections, so I defy anybody who thinks that there's election fraud going on at polls to go work them. You'll see all of the safeguards and things that are in place to stop anything like that from happening. Each one of these county clerks has a fantastic system of judging what's a valid vote, of what's a valid ballot, and what is not. I don't care how you think you can stuff a ballot box. It's impossible. Now there are ways to rig an election. In the state of Wisconsin, it's called gerrymandering. That's where you're getting, you know, election fraud. I mean, voters aren't causing that. And it's ridiculous if you think you can, you know, vote five times and change an election. It's just not worth it. Even if you could get away with it, which you can't, and the federal crime for that is years in prison for crying out loud. So why would anybody risk that?""",No,Yes,Wisconsin,8/9/2022,Senator,N/A,"109,917",16%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Bryan Steil,Male,White,,,No,12/1/2022,N/A (checked against interactive),"voted to certify 2020 results but has declined to answer questions about Republicans' efforts to pedal fraud theories. Although hesitant to answer questions outright, at a listening session, he did say Biden won in his eyes and referred audience members to specific reviews that said there was no widespread evidence of election fraud",Yes,No,Wisconsin,8/9/2022,Representative,1,"73,191",99%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charity Barry,Female,White,,,?,3/10/2023,Kaleigh,supports a forensic audit of 2020 election; attended (and sang at) election integrity rally in Madison,No,No,Wisconsin,8/9/2022,Representative,2,"21,711",50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Erik Olsen,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),limited to zero digital footprint,No,No,Wisconsin,8/9/2022,Representative,2,"21,774",50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Derrick Van Orden,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"participated in Jan 6, in addition to pushing Big Lie beliefs forward",No,No,Wisconsin,8/9/2022,Representative,3,"65,164",99%,Won,N/A,N/A,N/A,Yes,8/12/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Tim Rogers,Male,Black,,,N/A,12/1/2022,N/A (checked against interactive),"twitter is suspended - beside that, limited digital presence and nothing about his stance on this issue",No,No,Wisconsin,8/9/2022,Representative,4,"16,528",74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Travis Clark,Male,Black,,,N/A,7/25/2022,N/A (they are N/A),nothing about his stance on this issue,No,No,Wisconsin,8/9/2022,Representative,4,"5,583",25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Fitzgerald,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results; was also involved in WI's alternate electors plan,Yes,No,Wisconsin,8/9/2022,Representative,5,"118,411",99%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Douglas H. Mullenix,Male,White,,,No,7/30/2022,Maya,"""Joe Biden won a legitimate presidential election in 2020""",No,Yes,Wisconsin,8/9/2022,Representative,6,"17,773",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Glenn Grothman,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"voted to certify election results and has a whole statement about the situation post Jan 6, part of which reads, ""I am sure that James Madison and Alexander Hamilton are spinning in their graves. The idea that the President would be determined by a vote of Congress is both absurd and dangerous. I ask my Republican friends how they would feel if in 2024 Mike Pompeo were to best Kamala Harris with 275 electoral votes and a Democratic Congress were to throw out Wisconsin’s electoral votes because we have photo I.D. laws or didn’t have enough voting machines? We would be apoplectic."" He also elaborated on that statement in an interview. However, he has called for voter fraud (see end of statement linked above, and tweet)",Yes,No,Wisconsin,8/9/2022,Representative,6,"84,056",82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David W. Kunelius II,Male,White,,,N/A,7/25/2022,N/A (they are N/A),"retweeted this last month: ""Donald Trump did not receive enough votes to win the 2020 election. He was told this repeatedly, as our witnesses shared, but he chose to declare victory anyway. His perpetuation of the Big Lie led to Jan 6. Those are the facts; the truth is not political.""",No,Yes,Wisconsin,8/9/2022,Representative,7,"12,456",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Tiffany,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),voted not to certify 2020 election results ,Yes,No,Wisconsin,8/9/2022,Representative,7,"80,675",87%,Won,N/A,N/A,N/A,Yes,8/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shaun Clarmont,Male,White,,,?,3/15/2023,Nathaniel,"""I do believe their was mass accusations of voter fraud spread throughout  wisconsin and America. I do beliieve the impression given by the massive Trump movement definitely makes me feel their needs to be an investigation and an election  overturn if the accusations and evidence ring true. Unfortunately the politicians who could persue these accusations such as Wisconsin representative Robin Voss have  remained silent or lethargic in performance at best. One man named Timothy Ranthum who happens to be running for Governor of Wisconsin has spoken out about the voter fraud in Wisconsin and has taken on a valient fight to ensure All fraud accusations are being persued to the highest level where need be. I as a potential future representative of North East Wisconsin will assist any and all investigations into the mass voter fraud claims and evidence brought forth. Northeast Wisconsin voters rights will be protected under my representation and no level of disenfranchisement will be accepted. Our current representative  Mike Gallagher said for us all to look the other way just move on and accept the reults that Biden is your president their will always be fraud. As an Average American voter I cannot accept comments like this from my representative considering the only way we as bluecollar workers  insure our families security and future is through our vote. The Americans vote is a symbol of our  freedom. The American vote is all we have that stands between us and a tyrannical government. Shall no man of government or not take away our patriotic right our freedom to cast an honest vote for the better of our home and country. As far as whether the election was stolen or not  this needs to be decided through jurisprudence. For any representative or candidate to  make an early assumpion that the 2020 election was stolen or not  without  having reviewed all the facts would be potentially misleading to their constituants just as Mike Gallagher has done to me and the rest of the people he represents. The people have a right to the truth and to know what happened with their vote whatever maybe the outcome. No level of corruption is tollerable and no crime will go without penalty under my watch""",No,Yes,Wisconsin,8/9/2022,Representative,8,"14,377",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Gallagher,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"voted to certify 2020 results but also did air concerns with voting system: ""In his statement, Gallagher decried states' ""reckless adoption of mail-in ballots"" and other ""significant abuses in our election system,"" but maintained that Congress has no legal authority to throw out states' electoral votes.""",Yes,No,Wisconsin,8/9/2022,Representative,8,"79,096",85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Nicholson,Male,White,,,No?,7/25/2022,Kaleigh,"local CBS coverage headline: ""Kevin Nicholson says Joe Biden won the election, criticizes opponents for not 'telling the truth'""",No,No,Wisconsin,8/9/2022,Governor,N/A,"24,884",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rebecca Kleefisch,Female,White,,,Yes,7/25/2022,Maya,"NYT: ""During a radio appearance on Thursday, former Lt. Gov. Rebecca Kleefisch, the party establishment’s preferred candidate, refused to admit that Mr. Biden won the 2020 election — something she had already conceded last September. Ms. Kleefisch declined to be interviewed.""  - this feels like a ""No?"" that turned into a ""Declined to answer."" i've left it as ""?"" for now but am open. This video on her website is a clear ? to me; she starts with ""Nobody can say with a straight face that the 2020 election was normal."" then she says one party seemed to benefit more from changes. https://rebeccaforgovernor.com/issues/elections/",No,No,Wisconsin,8/9/2022,Governor,N/A,"291,384",42%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Timothy Ramthun,Male,White,,,Yes,3/15/2023,Nathaniel,"NYT photo caption: ""State Representative Timothy Ramthun of Wisconsin is running for governor on a platform of decertifying the 2020 election and reinstalling Donald J. Trump as president."" https://www.wkow.com/news/targeting-his-own-partys-leaders-ramthun-launches-campaign-for-governor/article_c7e3057c-8c5d-11ec-bd7f-13219ffb9c6d.html",No,No,Wisconsin,8/9/2022,Governor,N/A,"41,639",6%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Adam J. Fischer,Male,White,,,Yes,3/10/2023,Kaleigh,"from his website: ""It is clear to anyone paying attention at this point that there has been significant election fraud in Wisconsin and across America in the 2020 election. Voting is the power and voice of the people!! When that is altered through fraud, the people no longer hold the power. As your next Governor, working to ensure election integrity in this state will be one of my top priorities! People are sitting in office today who were NOT voted in by the people, but “won” their elections by devious means. The tactics, cover-ups, and blatant proof of fraud in the 2020 elections is growing every day as more truth is uncovered. I will work to restore Election Integrity in Wisconsin and stand up for the right of the people to elect their chosen officials! I will not stand by and allow the people’s voices to be silenced through devious and corrupt means! Vote Adam J Fischer for your next Governor and stop the fraud!""",No,No,Wisconsin,8/9/2022,Governor,N/A,"8,139",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tim Michels,Male,White,,,?,12/1/2022,N/A (checked against interactive),"local CBS coverage headline: ""Michels unsure if 2020 election was stolen, says he's focused on 2022 after winning Trump endorsement."" pretty consistently cast doubts. See also: https://www.jsonline.com/story/news/politics/elections/2022/05/09/tim-michels-says-maybe-election-stolen-despite-court-rulings/9705815002/ https://twitter.com/michelsforgov/status/1539590309885218816 https://twitter.com/michelsforgov/status/1539590302750720000",No,No,Wisconsin,8/9/2022,Governor,N/A,"326,969",47%,Won,N/A,N/A,N/A,Yes,6/2/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven R. Bond,Male,White,,,N/A,8/3/2022,N/A (they are N/A),no online presence or media coverage,No,No,Hawaii,8/13/2022,Senator,N/A,"6,407",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Wallyn Kanoelani Christian,Female,Pacific Islander (Native Hawaiian),,,Yes,8/7/2022,Maya,"""Aloha Alina, First, thank you for reaching out to me.  I truly appreciate it. As for your questions about the 2020 election; in short yes and yes! I do believe that Trump won the election and that the elections were stolen. Voter integrity is very important and unfortunately I believe that the 2020 election process was tampered with. Again, I appreciate you reaching out to our team. Mahalo, Wallyn K Christian US Senator Candidate - 2022""",No,No,Hawaii,8/13/2022,Senator,N/A,"9,497",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Timothy A. Dalhouse,Male,White,,,N/A,8/3/2022,N/A (they are N/A),"boilerplate election integrity on his website, but no other discussion found",No,No,Hawaii,8/13/2022,Senator,N/A,"17,158",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Asia LaVonne,Female,Black,,,Yes,3/15/2023,Nathaniel,"""the real “Insurrection” will be shown to have happened on Nov. 3, 2020, when the election was stolen from the American people.""",No,No,Hawaii,8/13/2022,Senator,N/A,"6,187",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob McDermott,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),nothing about his stance on this issue,No,No,Hawaii,8/13/2022,Senator,N/A,"25,686",40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Conrad Kress,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),nothing about his stance on this issue; posted a video encouraging people to be poll watchers but nothing super conspiracy minded https://twitter.com/conradkressHI01/status/1509728518401236995,No,No,Hawaii,8/13/2022,Representative,1,"13,449",50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patrick C. Largey,Male,White,,,Yes,3/10/2023,Kaleigh,"He doesn't have a very prominent online presense, but what he does have is pretty conspiracy-heavy. Linked image is a comment on an unrelated SCOTUS case but IMO he is asking will this SCOTUS ALSO overturn the 2020 fraudent election. In this Q&A for a local paper, he said he would impeach biden on day 1: https://www.civilbeat.org/2022/07/candidate-qa-1st-congressional-district-patrick-largey/",No,No,Hawaii,8/13/2022,Representative,1,"5,785",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arturo P. Reyes,Male,Latino,,,N/A,8/3/2022,N/A (they are N/A),no online presence or media coverage; Facebook page from 2018 election only,No,No,Hawaii,8/13/2022,Representative,1,"7,465",28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Akana,Male,Pacific Islander (Native Hawaiian),,,?,12/1/2022,N/A (checked against interactive),Shared some voter fraud allegations on his facebook (see link),No,No,Hawaii,8/13/2022,Representative,2,"28,200",84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Joseph E. ""Joe"" Webster",Male,White,,,N/A,8/3/2022,N/A (they are N/A),"nothing about his stance of the issue. on Ballotpedia candidate survey called himself a ""centrist""",No,No,Hawaii,8/13/2022,Representative,2,"5,403",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Duke Aiona,Male,Pacific Islander (Native Hawaiian),Asian,,N/A,12/1/2022,N/A (checked against interactive),nothing about his stance on this issue -- Q&A here,No,No,Hawaii,8/13/2022,Governor,N/A,"37,608",50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Cordery,Male,White,,,N/A,8/3/2022,N/A (they are N/A),https://drive.google.com/file/d/1GY1W0uCfYrOCxWj1b_mjHLerI5qR_UHF/view?usp=sharing,No,No,Hawaii,8/13/2022,Governor,N/A,"8,258",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"George ""Big Al"" Hawat",Male,White,,,N/A,8/3/2022,N/A (they are N/A),minimal online presense; can't find anything,No,No,Hawaii,8/13/2022,Governor,N/A,140,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keline Kahau,Female,Pacific Islander (Native Hawaiian),,,N/A,8/3/2022,N/A (they are N/A),minimal online presense; can't find anything,No,No,Hawaii,8/13/2022,Governor,N/A,469,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
