,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
John P. Piper,Male,white,,,N/A,No campaign website,Meredith ,4/22/24,No,Yes,Indiana,5/7/24,Representative,4,,6052,8.04%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Raju Chinthala,Male,Asian (Indian),,,Pro-Life,,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,5742,7.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Max Engling,Male,white,,,Pro-Life,,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,7841,9.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Chuck Goodrich,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,26865,33.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,No,N/A,No,N/A,N/A,
Mark Hurt,Male,white,,,Pro-Life,,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,4431,5.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Patrick Malayter,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,800,0.99%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Matthew Peiffer,Male,white,,,N/A,No campaign website,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,1379,1.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
LD Powell,Male,white,,,Pro-Life,,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,729,0.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Larry L. Savage Jr.,Male,white,,,N/A,No campaign website,Meredith ,4/27/24,No,Yes,Indiana,5/7/24,Representative,5,,1569,1.94%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,No,N/A,N/A,
Victoria Spartz,Female,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,4/27/24,Yes,No,Indiana,5/7/24,Representative,5,H0IN05326,31674,39.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,Yes,N/A,Yes,N/A,N/A,
Jamison Carrier,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,14386,20.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Darin Childress,Male,Unknown,,,N/A,no campaign website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,1737,2.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Bill Frazier,Male,white,,,Pro-Life,"""right to life""",Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,7110,9.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
John Jacob,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,5793,8.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jeff Raatz,Male,white,,,Pro-Life,"""sanctity of life""",Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,6365,8.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Jefferson Shreve,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,20265,28.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,
Mike Speedy,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/2/24,No,No,Indiana,5/7/24,Representative,6,,15752,22.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Philip N. Davis,Male,white,,,N/A,no website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,7,,6364,25.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Catherine (Cat) Ping,Female,white,,,N/A,no website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,7,,7390,29.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gabe (Honest Gabe) Whitley,Male,hispanic,,,Other,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,7,,3249,13.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer (Jenn) Pace,Female,white,,,N/A,no website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,7,,7716,31.21%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim (JustIN) Case,Male,white,,,No mention,his entire website is just a link to winred,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,2107,2.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Jeremy L. Heath,Male,white,,,N/A,no website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,944,1.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
John N. Hostettler,Male,white,,,No mention,No issues on site,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,15649,19.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Dominick Jack Kavanaugh,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,9397,11.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Mark Messmer,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,30668,38.51%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
Luke A. Misner,Male,white,,,N/A,no website,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,2287,2.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Richard Moss,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,11227,14.10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Kristi Risk,Female,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Representative,8,,7350,9.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Hugh Doty,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/2/24,No,Yes,Indiana,5/7/24,Representative,9,,13983,20.19%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,
Erin Houchin,Female,white,,,Pro-Life,,Irena,5/2/24,Yes,No,Indiana,5/7/24,Representative,9,H6IN09143,55278,79.81%,Won,N/A,N/A,N/A,Yes,4/30/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Jim Banks,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Senator,N/A,,475729,100.00%,Won,N/A,N/A,N/A,Yes,2/1/23,Yes,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,
Mike Braun,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,237125,39.55%,Won,N/A,N/A,N/A,Yes,11/1/23,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Chambers,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,104723,17.46%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Suzanne Crouch,Female,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,130219,21.72%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Doden,Male,white,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,71031,11.85%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Curtis Hill,Male,Black,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,27750,4.63%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jamie Reitenour,Female,Black,,,Pro-Life,,Irena,5/2/24,No,No,Indiana,5/7/24,Governor,N/A,,28774,4.80%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andy Harris,Male,White,,,Pro-Life,,Irena,5/9/24,Yes,No,Maryland,5/14/24,Representative,1,H8MD01094,57010,77.39%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
"Chris Bruneau, Sr.",Male,White,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,Yes,Maryland,5/14/24,Representative,1,,11946,16.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Michael Scott Lemon,Male,White,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,Yes,Maryland,5/14/24,Representative,1,,4714,6.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Thormann,Male,White,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,2,,5414,13.46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dave Wallace,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,2,,9433,23.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kim Klacik,Female,Black,,,No mention,"Has one issue on site; doesn't mention abortion in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,2,,25377,63.09%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Arthur Radford Baker, Jr.",Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,6931,19.87%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ray Bly,Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,2015,5.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Berney Flowers,Male,Black,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,6028,17.28%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Thomas E. ""Pinkston"" Harris",Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,2857,8.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jordan Mayo,Female,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,2918,8.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Naveed Mian,Male,Asian,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,1085,3.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joshua M. Morales,Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,3159,9.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Rea,Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,1120,3.21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert J. Steinberger,Male,white,,,Other,"""While I am personally opposed to abortion, I believe in a woman’s autonomy and right to make her own decisions, and especially so in cases of rape or incest...""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,3,,8766,25.13%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George McDermott,Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,4,,3563,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michelle Talkington,Female,black,white (bi-racial),,Other,"""I spent my formative years near Odgen where I thrived as a student but found myself pregnant at the age of 17. I was given a choice at the time, and I Chose Life! I continued my education and served as Senior Class Vice President while pregnant. Choosing Life would be the catalyst to many successes.""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,5,,27202,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Dan Cox,Male,white,,,Pro-Life,"Doesn't list as a core issue, but under ""law and liberty"" he says ""President Trump’s three appointees delivered the biggest win for life in a generation in overturning Roe v. Wade"", and below that there is a video that says ""pro-life""",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,14797,30.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Chris Hyser,Male,white,,,No mention,"Has issues on page, doesn't mention abortion, though. Surprising, given other positions... ",Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,1625,3.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Neil C. Parrott,Male,white,,,Pro-Life,,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,22604,45.93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Todd A. Puglisi,Male,white,,,N/A,no campaign website,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,446,0.91%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Mariela Roca,Female,hispanic,,,Pro-Life,,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,6071,12.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Tom Royals,Male,white,,,Pro-Life,,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,2060,4.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Brenda J. Thiam,Female,black,,,Pro-Life,,Meredith ,5/9/24,No,No,Maryland,5/14/24,Representative,6,,1607,3.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Scott M. Collier,Male,white,,,No mention,"Has issues on site (kinda), no mention of abortion",Irena,5/9/24,No,No,Maryland,5/14/24,Representative,7,,4289,47.42%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Wayne ""For Freedom"" McNeal",Male,black,,,No mention,"No issues or bio on page, but homepage doesn't mention abortion terms",Irena,5/9/24,No,No,Maryland,5/14/24,Representative,7,,2804,31.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lorrie A. Sigley,Female,unknown,,,N/A,no website,Irena,5/9/24,No,No,Maryland,5/14/24,Representative,7,,1951,21.57%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Yadeta,Male,black,,,Other,"He has a box called ""protecting life"" but when you click into it it's about creating jobs",Irena,5/9/24,No,No,Maryland,5/14/24,Representative,8,,4290,30.78%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cheryl Riley,Female,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,No,Maryland,5/14/24,Representative,8,,9647,69.22%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moe H. Barakat,Male,middle eastern (Qatari),,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,2203,0.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Chaffee,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,9134,3.19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robin Ficker,Male,white,,,No mention,,Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,79517,27.79%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lorie R. Friend,Female,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,5867,2.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry Hogan,Male,white,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,183661,64.18%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John A. Myrick,Male,white,,,Other,up to the states,Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,4987,1.74%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laban Y. Seyoum,Male,black,,,N/A,no website,Irena,5/9/24,No,No,Maryland,5/14/24,Senator,N/A,,782,0.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Connely,Male,white,,,No mention,"has issues, doesn't mention abortion ",Meredith,5/9/24,No,Yes,Nebraska,5/14/24,Representative,1,,12884,18.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mike Flood,Male,white,,,Pro-Life,,Meredith,5/9/24,Yes,No,Nebraska,5/14/24,Representative,1,H2NE01118,56846,81.52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Don Bacon,Male,white,,,Pro-Life,"he doesn't say his positiion, but on the issues page has ""pro-life issues"" and mentions his endorsements (pro-life groups)",Meredith,5/9/24,Yes,No,Nebraska,5/14/24,Representative,2,H6NE02125,35748,61.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Dan Frei,Male,white,,,Pro-Life,,Meredith,5/9/24,No,Yes,Nebraska,5/14/24,Representative,2,,21946,38.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Robert McCuiston,Male,white,,,Pro-Life,,Meredith,5/9/24,No,Yes,Nebraska,5/14/24,Representative,3,,6654,7.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Adrian Smith,Male,white,,,Pro-Life,,Meredith,5/9/24,Yes,No,Nebraska,5/14/24,Representative,3,H6NE03115,68056,74.16%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John Walz,Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,Yes,Nebraska,5/14/24,Representative,3,,17060,18.59%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Arron Kowalski,Male,white,,,N/A,no website,Irena,5/9/24,No,Yes,Nebraska,5/14/24,Senator,N/A,,44334,20.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,
Deb Fischer,Female,white,,,No mention,"No issues on site, but has ""Pro-Life Warriors"" section on Endorsements page",Irena,5/9/24,Yes,No,Nebraska,5/14/24,Senator,N/A,S2NE00094,174820,79.77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Pete Ricketts,Male,white,,,Pro-Life,"Embedded Twitter account on homepage mentions ""pro-life"" (May 7, 2024)",Irena,5/9/24,Yes,No,Nebraska,5/14/24,Senator (unexpired term),N/A,S6NE00129,173118,78.94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mac Stevens,Male,white,,,Other,"""protect traditional values on life""",Irena,5/9/24,No,Yes,Nebraska,5/14/24,Senator (unexpired term),N/A,,13669,6.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Glen Weaver,Male,white,,,Pro-Life,,Irena,5/9/24,No,Yes,Nebraska,5/14/24,Senator (unexpired term),N/A,,32529,14.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,
Derrick Evans,Male,white,,,Pro-Life,,Irena,5/9/24,No,Yes,West Virginia,5/14/24,Representative,1,,38466,37.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,No,N/A,
Carol Miller,Female,white,,,Pro-Life,,Irena,5/9/24,Yes,No,West Virginia,5/14/24,Representative,1,H8WV03097,65343,62.95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,N/A,
"Dennis ""Nate"" Cain",Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Representative,2,,13625,13.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,
Joseph (Joe) Earley,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Representative,2,,21176,20.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,
Alexander Gaaserud,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Representative,2,,7453,7.13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,
Riley Moore,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Representative,2,,47033,45.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
"Chris ""Mookie"" Walker",Male,black,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,5/9/24,No,No,West Virginia,5/14/24,Representative,2,,15203,14.55%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,N/A,N/A,N/A,N/A,
Bryan Bird,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,7001,3.13%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Justice,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,138307,61.84%,Won,N/A,N/A,N/A,Yes,10/18/23,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zane Lawhorn,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,4517,2.02%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don Lindsay,Male,white,,,N/A,no website,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,3503,1.57%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bryan McKinney,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,6573,2.94%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Janet McNulty,Female,white,,,Other,up to the states,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,4404,1.97%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alexander X. Mooney,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Senator,N/A,,59348,26.54%,Lost,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Moore Capito,Male,white,,,Pro-Life,,Irena,5/9/24,No,No,West Virginia,5/14/24,Governor,N/A,,62224,27.55%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Kevin ""KC"" Christian",Male,white,,,No mention,"Has issues on site, no mention of abortion, or in ""about""",Irena,5/9/24,No,No,West Virginia,5/14/24,Governor,N/A,,3093,1.37%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
